Domain Name,Expected Ratio,Observed Ratio,Enrichment Fold Change,P-value,FDR depleted P-value,Bonferroni depleted P-value,log2(Enrichment Fold Change),-log10(P-value),-log10(FDR P-value),-log10(Bonferroni P-value)
GO:0016830,10/49164 (0.02034%),0/32 (0%),0.0,0.9935096111764519,1.0,1.0,-1000.0,0.002827927184555954,-0.0,-0.0
GO:0016831,18/49164 (0.03661%),0/32 (0%),0.0,0.9883467003189321,1.0,1.0,-1000.0,0.005090683324107646,-0.0,-0.0
GO:0016833,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0016836,5/49164 (0.01017%),0/32 (0%),0.0,0.9967496878745767,1.0,1.0,-1000.0,0.001413891661926328,-0.0,-0.0
GO:0016841,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0016846,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0016853,102/49164 (0.2075%),0/32 (0%),0.0,0.935681639032884,1.0,1.0,-1000.0,0.028871892640259394,-0.0,-0.0
GO:0016854,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0016857,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0016866,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0016868,3/49164 (0.006102%),0/32 (0%),0.0,0.9980485827234333,1.0,1.0,-1000.0,0.0008483177355106826,-0.0,-0.0
GO:0016874,103/49164 (0.2095%),0/32 (0%),0.0,0.9350713538335637,1.0,1.0,-1000.0,0.029155247529830508,-0.0,-0.0
